,label,count,mean,std,min,25%,50%,75%,max
0,case,249821.0,-0.384512,0.91229,-4.951207,-0.997277,-0.385556,0.230701,3.724763
1,count,249785.0,0.913493,0.91436,-3.500203,0.297571,0.912034,1.530251,4.743941
